iter	Logloss
0	0.680826132
1	0.6711598284
2	0.6624376261
3	0.6560491465
4	0.6505471195
5	0.6454960121
6	0.6412835372
7	0.6379319665
8	0.6354258634
9	0.6329994177
10	0.6314133652
11	0.629374775
12	0.6278872997
13	0.6266119258
14	0.6253219071
15	0.6243997921
16	0.6234997749
17	0.6228125618
18	0.6221185298
19	0.6215134923
20	0.6209535948
21	0.6204557985
22	0.6201738298
23	0.6198061792
24	0.6194779716
25	0.6191347425
26	0.6188432939
27	0.6185517463
28	0.6183202809
29	0.6181576481
30	0.617934832
31	0.6178463107
32	0.6176888077
33	0.6175269968
34	0.6174669948
35	0.6173441111
36	0.6172107566
37	0.6171485517
38	0.617083575
39	0.6169483518
40	0.6168404265
41	0.6167117899
42	0.616625637
43	0.6165752224
44	0.6165447902
45	0.6165056856
46	0.6164268816
47	0.6163625877
48	0.6163127256
49	0.6162525338
